word,phonetic_alterntive
milan,mahlaan
match,maech
deck,dehk
committed,kahmihtahd
videos,vihdiyowz
prognosis,praagnowsahs
continues,kahntihnyuwz
sue,suw
introduced,ihntrahduwst
knocked,naakt
hundred,hhahndrahd
physicists,fihzihsihsts
forefront,faorfrahnt
hopes,hhowps
achieve,ahchiyv
holy,hhowliy
peterson,piytersahn
settlement,sehtahlmahnt
donkey,daangkiy
hope,hhowp
size,sayz
hum,hhahm
drapes,dreyps
representatives,rehprahzehntahtihvz
traumatized,traomahtayzd
breast,brehst
shepherd,shehperd
fuck,fahk
ointment,oyntmahnt
controlled,kahntrowld
poets,powahts
half,hhaef
contradicts,kaantrahdihkts
bugger,bahger
gem,jhehm
diversity,dihversahtiy
delicious,dihlihshahs
estuary,ehschuwehriy
indicated,ihndahkeytahd
hormones,hhaormownz
professional,prahfehshahnahl
righteousness,raychahsnahs
bone,bown
please,pliyz
elias,ahlayahs
suitable,suwtahbahl
postcard,powstkaard
alive,ahlayv
firemen,fayrmahn
spines,spaynz
plunging,plahnjhihng
value,vaelyuw
typewriters,tayprayterz
yen,yehn
conceal,kahnsiyl
incapacitated,ihnkahpaesihteytihd
dedication,dehdahkeyshahn
healthy,hhehlthiy
then,dhehn
scrapes,skreyps
hit,hhiht
confuse,kahnfyuwz
considers,kahnsihderz
cheaply,chiypliy
ties,tayz
reinstate,riyihnsteyt
furious,fyuhriyahs
limited,lihmahtahd
wonder,wahnder
popular,paapyahler
troubles,trahbahlz
choosing,chuwzihng
aching,eykihng
append,ahpehnd
juggle,jhahgahl
tripped,trihpt
captivated,kaeptihveytihd
explosion,ihksplowzhahn
generation,jhehnereyshahn
filming,fihlmihng
stare,stehr
lighten,laytahn
made,meyd
knew,nuw
coughing,kaafihng
totalled,towtahld
defined,dihfaynd
symptoms,sihmptahmz
oath,owth
groceries,growseriyz
humans,hhyuwmahnz
studied,stahdiyd
racism,reysihzahm
hoped,hhowpt
c,siy
tidal,taydahl
mice,mays
manufactures,maenyahfaekcherz
talking,taokihng
mourned,maornd
rapidly,raepahdliy
password,paeswerd
says,sehz
winner,wihner
friars,frayerz
reply,rihplay
surname,serneym
learners,lernerz
poker,powker
fur,fer
lions,layahnz
lined,laynd
principle,prihnsahpahl
life,layf
work,werk
environmental,ihnvayrahnmehntahl
culture,kahlcher
job,jhaab
bargained,baargahnd
martian,maarshahn
supplied,sahplayd
looting,luwtihng
report,riypaort
loneliness,lownliynahs
connect,kahnehkt
some,sahm
recent,riysahnt
lazy,leyziy
hanger,hhaenger
scourge,skerjh
with,wihdh
sitting,sihtihng
violinist,vayahlihnahst
cocaine,kowkeyn
payday,peydey
rather,raedher
ideology,aydiyaalahjhiy
mexico,mehksahkow
combination,kaambahneyshahn
rough,rahf
bothering,baadherihng
easier,iyziyer
notice,nowtahs
expelled,ihkspehld
arms,aarmz
baseball,beysbaol
number,nahmber
recording,rahkaordihng
spare,spehr
pregnancy,prehgnahnsiy
compensated,kaampahnseytahd
dr.,drayv
street,striyt
medicinal,mahdihsahnahl
willing,wihlihng
warrant,waorahnt
cheap,chiyp
vacations,veykeyshahnz
contribute,kahntrihbyuwt
choose,chuwz
persian,perzhahn
discussions,dihskahshahnz
attack,ahtaek
spirit,spihraht
bombed,baamd
dig,dihg
unreasonable,ahnriyznahbahl
bessie,behsiy
harm,hhaarm
condemned,kahndehmd
nobel,nowbehl
sleepy,sliypiy
wink,wihngk
rumor,ruwmer
lounge,lawnjh
generous,jhehnerahs
auxiliary,aagzihlyeriy
bomb,baam
lit,liht
post,powst
jam,jhaem
parade,pereyd
social,sowshahl
range,reynjh
discovered,dihskahverd
polling,powlihng
offing,aofihng
eight,eyt
suspended,sahspehndahd
clue,kluw
averted,ahvertahd
appointed,ahpoyntahd
cultivate,kahltahveyt
creature,kriycher
hang,hhaeng
meetings,miytihngz
privately,prayvahtliy
seen,siyn
squishy,skwihshiy
dmitri,dahmiytriy
slightly,slaytliy
na,naa
reminder,riymaynder
pickpockets,pihkpaakahts
apparently,ahpehrahntliy
skip,skihp
exhibited,ihgzihbahtahd
looks,luhks
available,ahveylahbahl
info,ihnfow
bear,behr
annoy,ahnoy
hosting,hhowstihng
escorted,ehskaortihd
determined,dihtermahnd
cops,kaaps
heaven,hhehvahn
produced,prahduwst
preservation,prehzerveyshahn
river,rihver
hello,hhahlow
banging,baengihng
garden,gaardahn
anymore,ehniymaor
midnight,mihdnayt
french,frehnch
speaker,spiyker
jews,jhuwz
hatch,hhaech
adorable,ahdaorahbahl
chased,cheyst
backup,baekahp
like,layk
thunderstorm,thahnderstaorm
promising,praamahsihng
dozen,dahzahn
relationship,riyleyshahnshihp
bones,bownz
doing,duwihng
offspring,aofsprihng
outskirts,awtskerts
trousers,trawzerz
belong,bihlaong
jefferson,jhehfersahn
claim,kleym
rejection,rihjhehkshahn
satisfied,saetahsfayd
rent,rehnt
someplace,sahmpleys
abducted,aebdahktihd
products,praadahkts
efficient,ihfihshahnt
escape,ihskeyp
roommate,ruwmeyt
wages,weyjhahz
cream,kriym
write,rayt
delays,dihleyz
nights,nayts
prom,praam
exchange,ihkscheynjh
dutch,dahch
album,aelbahm
respect,rihspehkt
mocking,maakihng
umbilical,ahmbihlihkahl
country,kahntriy
bartender,baartehnder
astronomy,ahstraanahmiy
composers,kahmpowzerz
level,lehvahl
fries,frayz
reproduction,riyprahdahkshahn
reservation,rehzerveyshahn
t,tiy
snowball,snowbaol
horseback,hhaorsbaek
no,now
basalt,bahsaolt
pandemic,paendehmihk
informative,ihnfaormahtihv
precipitation,prihsihpihteyshahn
loved,lahvd
golf,gaalf
scott,skaat
parliament,paarlahmahnt
suppliers,sahplayerz
chick,chihk
literature,lihterahcher
pleaser,pliyzer
tends,tehndz
crown,krawn
tawny,taaniy
irritates,ihrihteyts
elderly,ehlderliy
classy,klaesiy
township,tawnshihp
hallways,hhaolweyz
photos,fowtowz
drops,draaps
brain,breyn
committing,kahmihtihng
bottles,baatahlz
moscow,maaskow
edible,ehdahbahl
intents,ihntehnts
tones,townz
play,pley
deserves,dihzervz
ghastly,gaestliy
soda,sowdah
magic,maejhihk
inspector,ihnspehkter
bachelor,baechahler
resent,rihzehnt
netherlands,nehdherlahndz
kick,kihk
publications,pahblihkeyshahnz
roof,ruwf
safe,seyf
atheist,eythiyahst
tourism,tuhrihzahm
fell,fehl
disobeyed,dihsowbeyd
expel,ihkspehl
obese,owbiys
accomplishments,ahkaamplihshmahnts
trading,treydihng
it,iht
daniel,daenyahl
surprising,serprayzihng
muslims,mahzlahmz
peter,piyter
buzzes,bahzihz
laban,leybahn
someone,sahmwahn
designs,dihzaynz
yet,yeht
rainfall,reynfaol
attainable,ahteynahbahl
despair,dihspehr
customers,kahstahmerz
disorder,dihsaorder
season,siyzahn
province,praavahns
jail,jheyl
travelling,traevahlihng
shed,shehd
confession,kahnfehshahn
model,maadahl
killing,kihlihng
watermelon,waotermehlahn
finished,fihnihsht
partly,paartliy
painted,peyntahd
stake,steyk
word,werd
meaning,miynihng
spoke,spowk
trade,treyd
winged,wihngd
complicated,kaamplahkeytahd
postmodern,powstmaadern
possible,paasahbahl
innocence,ihnahsahns
beethoven,beytowvahn
marketing,maarkahtihng
hiking,hhaykihng
labels,leybahlz
menopause,mehnahpawz
ruin,ruwahn
filipino,fihlahpiynow
happening,hhaepahnihng
climate,klaymaht
alias,eyliyahs
inhabitants,ihnhhaebahtahnts
rio,riyow
problems,praablahmz
obstetricians,aabstahtrihshahnz
drawing,draoihng
will,wihl
almost,aolmowst
yelling,yehlihng
priest,priyst
earrings,ihrihngz
topic,taapihk
call,kaol
challenge,chaelahnjh
taste,teyst
manner,maener
apps,aeps
prosperous,praasperahs
cultures,kahlcherz
female,fiymeyl
bumped,bahmpt
plains,pleynz
handful,hhaendfuhl
aural,aorahl
list,lihst
bags,baegz
watches,waachahz
exceeding,ihksiydihng
irritate,ihrihteyt
bunker,bahngker
minute,mihnaht
smiles,smaylz
vocabulary,vowkaebyahlehriy
triangles,trayaenggahlz
from,frahm
pleas,pliyz
senate,sehnaht
top,taap
minority,maynaorahtiy
associate,ahsowsiyaht
weakening,wiykahnihng
stayed,steyd
born,baorn
absorbs,ahbzaorbz
emotionally,ihmowshnahliy
intolerable,ihntaalerahbahl
comparison,kahmpehrahsahn
times,taymz
alright,aolrayt
directed,derehktahd
split,spliht
rings,rihngz
contraption,kahntraepshahn
kingdom,kihngdahm
finals,faynahlz
thieves,thiyvz
sugar,shuhger
lottery,laateriy
buddhism,buwdihzahm
rope,rowp
button,bahtahn
where,wehr
well,wehl
koalas,kowaalahz
unclear,ahnklihr
quo,kwow
remarkable,rihmaarkahbahl
returning,rihternihng
under,ahnder
shook,shuhk
ate,eyt
long,laong
elephant,ehlahfahnt
arrest,erehst
fig,fihg
charged,chaarjhd
ascribed,ahskraybd
draws,draoz
unconscious,ahnkaanshahs
naive,nayiyv
type,tayp
insider,ihnsayder
aid,eyd
violence,vayahlahns
pandit,pahndaht
qualified,kwaalahfayd
americans,ahmehrahkahnz
accuses,ahkyuwzihz
makeup,meykahp
anger,aengger
students,stuwdahnts
wind,waynd
miss,mihs
obligation,aablahgeyshahn
eskimo,ehskahmow
walls,waolz
unhappy,ahnhhaepiy
panic,paenihk
exact,ihgzaekt
chapter,chaepter
lonely,lownliy
giving,gihvihng
bathing,beydhihng
relative,rehlahtihv
baltic,baoltihk
jealousy,jhehlahsiy
hewn,hhyuwn
reduced,rahduwst
predominated,prihdaamahneytihd
dive,dayv
book,buhk
input,ihnpuht
isolating,aysahleytihng
mischievous,mihschahvahs
come,kahm
avi,aaviy
kill,kihl
gone,gaon
at,aet
fallen,faalahn
folks,fowks
truth,truwth
croup,kruwp
whispering,wihsperihng
tale,teyl
assured,ahshuhrd
couch,kawch
challenges,chaelahnjhihz
maneuvers,mahnuwverz
weed,wiyd
survive,servayv
slapped,slaept
gloves,glahvz
capsized,kaepsayzd
lake,leyk
difficult,dihfahkahlt
answering,aenserihng
popped,paapt
psychology,saykaalahjhiy
cabinet,kaebahnaht
plant,plaent
nock,naak
ancestors,aensehsterz
'd,diy
annuity,ahnuwahtiy
knife,nayf
testified,tehstahfayd
buds,bahdz
returned,rihternd
trumpets,trahmpahts
expressed,ihksprehst
tallest,taolihst
serpent,serpahnt
polite,pahlayt
admit,ahdmiht
tendered,tehnderd
bonds,baandz
buddhist,buwdahst
dramatic,drahmaetihk
oddly,aadliy
uneasiness,ahniyziynahs
sets,sehts
boss,baas
futures,fyuwcherz
predators,prehdahterz
volunteering,vaolahntihrihng
row,row
jumper,jhahmper
matsushita,maatsuwshiytah
hills,hhihlz
equation,ihkweyzhahn
tries,trayz
fireflies,fayerflayz
percent,persehnt
crack,kraek
develop,dihvehlahp
understood,ahnderstuhd
inches,ihnchahz
buying,bayihng
coach,kowch
out,awt
barges,baarjhahz
congratulated,kahngraechahleytihd
mount,mawnt
flight,flayt
complaint,kahmpleynt
afford,ahfaord
filter,fihlter
opponent,ahpownahnt
bookstore,buhkstaor
boot,buwt
honestly,aanahstliy
due,duw
romulus,raamyahlahs
by,bay
translated,traenzleytahd
ah,aa
move,muwv
russia,rahshah
still,stihl
chainsaw,cheynsao
harmony,hhaarmahniy
phones,fownz
automobile,aotahmowbiyl
remained,rihmeynd
towns,tawnz
silly,sihliy
arc,aark
ukulele,yuwkahleyliy
disabled,dihseybahld
dodge,daajh
threw,thruw
salad,saelahd
spire,spayr
fundamental,fahndahmehntahl
thirds,therdz
gradually,graejhuwahliy
motives,mowtihvz
hast,hhaest
awful,aafahl
things,thihngz
iran,ihraan
organs,aorgahnz
fourth,faorth
sorry,saariy
demonstrated,dehmahnstreytahd
cook,kuhk
universes,yuwnahversihz
conspiracy,kahnspihrahsiy
volunteer,vaalahntihr
uninteresting,ahnihntrahstihng
mote,mowt
heavy,hhehviy
dragon,draegahn
overflowing,owverflowihng
mailing,meylihng
fascinating,faesahneytihng
sweetheart,swiythhaart
sparks,spaarks
software,saoftwehr
chicken,chihkahn
even,iyvihn
increase,ihnkriys
illusion,ihluwzhahn
garbage,gaarbihjh
fools,fuwlz
invoice,ihnvoys
shoulder,showlder
absorbed,ahbzaorbd
misreading,mihsriydihng
warm,waorm
question,kwehschahn
cheetah,chiytah
mucous,myuwkahs
finds,fayndz
freeware,friyweyr
lisa,liysah
followed,faalowd
porn,paorn
salt,saolt
timid,tihmihd
overactive,owveraektihv
sacrificed,saekrahfayst
claims,kleymz
worker,werker
bench,behnch
fascinated,faesahneytahd
suitcases,suwtkeysihz
reason,riyzahn
dignity,dihgnahtiy
pie,pay
salesman,seylzmahn
grandfather,graendfaadher
carbon,kaarbahn
citing,saytihng
fir,fer
blinking,blihngkihng
regular,rehgyahler
becomes,bihkahmz
bigger,bihger
recovery,rihkahvriy
competent,kaampahtihnt
theories,thihriyz
minimizing,mihnahmayzihng
fork,faork
compress,kaamprehs
beginning,bihgihnihng
diverse,dayvers
however,hhawehver
christmas,krihsmahs
p,piy
nephews,nehfyuwz
uncle,ahngkahl
pitch,pihch
david,deyvihd
compound,kaampawnd
serious,sihriyahs
clean,kliyn
emotions,ihmowshahnz
sisters,sihsterz
communities,kahmyuwnahtiyz
imagination,ihmaejhahneyshahn
prove,pruwv
cancer,kaenser
locks,laaks
tells,tehlz
sport,spaort
host,hhowst
remote,rihmowt
brick,brihk
turkmenistan,terkmehnihstaen
little,lihtahl
conventional,kahnvehnshahnahl
e,iy
bunch,bahnch
song,saong
go,gow
gunter,gahnter
invented,ihnvehntahd
centigrade,sehntahgreyd
towards,tahwaordz
recipe,rehsahpiy
lots,laats
slapdash,slaepdaesh
illumined,ihluwmahnd
visionary,vihzhahnehriy
influence,ihnfluwahns
faced,feyst
honor,aaner
x,ehks
repairs,rihpehrz
mouthed,mawdhd
behaving,bihhheyvihng
realized,riylayzd
invaders,ihnveyderz
adopted,ahdaaptahd
ludicrous,luwdahkrahs
ye,yiy
should,shuhd
freezing,friyzihng
handed,hhaendahd
site,sayt
transferred,traensferd
elect,ihlehkt
hugged,hhahgd
worldwide,werldwayd
early,erliy
making,meykihng
herring,hhehrihng
discussion,dihskahshahn
impulsively,ihmpahlsihvliy
sofa,sowfah
provide,prahvayd
sailed,seyld
choreography,kaoriyaagrahfiy
into,ihntuw
colors,kahlerz
catholic,kaethlihk
commanded,kahmaendahd
saying,seyihng
chills,chihlz
quality,kwaalahtiy
commands,kahmaendz
horn,hhaorn
eleven,ihlehvahn
turkeys,terkiyz
guarantee,gehrahntiy
smile,smayl
plaque,plaek
absentia,aebsehnshah
airplane,ehrpleyn
set,seht
bringing,brihngihng
unfit,ahnfiht
accessible,aeksehsahbahl
army,aarmiy
remain,rihmeyn
buns,bahnz
hugs,hhahgz
parties,paartiyz
square,skwehr
telephone,tehlahfown
croissants,kwaasaants
ankle,aengkahl
cancel,kaensahl
advance,ahdvaens
batman,baetmaen
surroundings,serawndihngz
activity,aektihvahtiy
bed,behd
steel,stiyl
mistaken,mihsteykahn
have,hhaev
warming,waormihng
absent,aebsahnt
restarting,riystaartihng
jamal,jhahmaal
bought,baat
happens,hhaepahnz
pa,paa
drug,drahg
whales,weylz
media,miydiyah
impostor,ihmpaoster
arrival,erayvahl
unlocked,ahnlaakt
boys,boyz
toast,towst
grosses,growsihz
turkey,terkiy
peered,pihrd
checked,chehkt
lines,laynz
illiteracy,ihlihterahsiy
suckers,sahkerz
hurry,hheriy
thirteenth,thertiynth
lend,lehnd
there,dhehr
ant,aent
yard,yaard
shark,shaark
outer,awter
shampoo,shaempuw
ambition,aembihshahn
moustache,mahstaesh
alas,ahlaes
begin,bihgihn
far,faar
preparation,prehpereyshahn
waste,weyst
collection,kahlehkshahn
jokes,jhowks
safer,seyfer
dying,dayihng
actor,aekter
rob,raab
tobacco,tahbaekow
mountains,mawntahnz
asha,aashah
chinese,chayniyz
disrespectful,dihsrihspehktfahl
parents,pehrahnts
adam,aedahm
bachelors,baechlerz
gathered,gaedherd
anywhere,ehniywehr
collapse,kahlaeps
names,neymz
pearl,perl
esoteric,ehsahtehrihk
stability,stahbihlihtiy
precise,prihsays
maize,meyz
exercising,ehksersayzihng
below,bihlow
tolerance,taalerahns
butterfly,bahterflay
restlessly,rehstlahsliy
goods,guhdz
boasted,bowstahd
lone,lown
windshield,wihndshiyld
opportunities,aapertuwnahtiyz
forth,faorth
prey,prey
innocent,ihnahsahnt
admitting,aedmihtihng
mine,mayn
learning,lernihng
zombie,zaambiy
gate,geyt
require,riykwayer
loppers,laaperz
troy,troy
acting,aektihng
unburdened,ahnberdahnd
ignorant,ihgnerahnt
clouds,klawdz
occupy,aakyahpay
states,steyts
integrity,ihntehgrahtiy
rice,rays
pinched,pihncht
handbook,hhaendbuhk
losing,luwzihng
firefighter,fayrfayter
exactly,ihgzaektliy
bastard,baesterd
chemical,kehmahkahl
annual,aenyuwahl
assume,ahsuwm
low,low
sheep,shiyp
tales,teylz
cuba,kyuwbah
quacks,kwaeks
prevail,prihveyl
singers,sihngerz
area,ehriyah
sky,skay
disability,dihsahbihlihtiy
ruined,ruwahnd
browser,brawzer
east,iyst
suggestions,sahgjhehschahnz
entire,ihntayer
antonio,aentowniyow
palestine,paelahstayn
amanda,ahmaendah
horse,hhaors
power,pawer
providing,prahvaydihng
cussing,kahsihng
conservative,kahnservahtihv
connected,kahnehktahd
outside,awtsayd
ridge,rihjh
recessing,riysehsihng
crushed,krahsht
o,ow
sunlight,sahnlayt
gazed,geyzd
pardon,paardahn
itches,ihchahz
toys,toyz
identify,aydehntahfay
yeah,yae
counseling,kawnsahlihng
teenagers,tiyneyjherz
dostoevsky,daostowvskiy
reserving,rihzervihng
weather,wehdher
suspense,sahspehns
seconds,sehkahndz
indulgences,ihndahljhahnsahz
laptop,laeptaap
burglar,bergler
fountain,fawntahn
proven,pruwvahn
belonged,bihlaongd
elaborate,ihlaebraht
plank,plaengk
unite,yuwnayt
manon,maanaon
pushy,puhshiy
mammal,maemahl
theater,thiyahter
permanently,permahnahntliy
brushing,brahshihng
rolled,rowld
melt,mehlt
field,fiyld
overcooked,owverkuhkt
thrown,thrown
strive,strayv
fish,fihsh
theoretical,thiyerehtihkahl
carefully,kehrfahliy
atoms,aetahmz
truck,trahk
charger,chaarjher
won,wahn
mistakes,mihsteyks
arrives,erayvz
care,kehr
moon,muwn
invite,ihnvayt
pig,pihg
chit,chiht
gum,gahm
dance,daens
lighting,laytihng
jacket,jhaekaht
competition,kaampahtihshahn
television,tehlahvihzhahn
fairly,fehrliy
spy,spay
extent,ihkstehnt
places,pleysahz
station,steyshahn
ruddy,rahdiy
heat,hhiyt
dog,daog
twelve,twehlv
hated,hheytahd
insists,ihnsihsts
installed,ihnstaold
closer,klowser
harvest,hhaarvahst
spiffy,spihfiy
overrun,owverrahn
misses,mihsahz
neck,nehk
symbol,sihmbahl
dumped,dahmpt
future,fyuwcher
waits,weyts
charades,shereydz
starve,staarv
pornography,paornaagrahfiy
helpful,hhehlpfahl
wage,weyjh
hastily,hheystahliy
mutual,myuwchahwahl
fog,faag
cracked,kraekt
achieved,ahchiyvd
camera,kaemerah
insult,ihnsahlt
their,dhehr
nicaragua,nihkeraagwah
wife,wayf
incident,ihnsahdahnt
thanked,thaengkt
instructions,ihnstrahkshahnz
finally,faynahliy
resistance,rihzihstahns
room,ruwm
aura,aorah
erection,ihrehkshahn
tens,tehnz
wins,wihnz
toilet,toylaht
lost,laost
granular,graenyahler
sand,saend
poor,puhr
point,poynt
stressed,strehst
philippines,fihlahpiynz
causing,kaazihng
frankly,fraengkliy
regained,riygeynd
anorak,aeneraek
box,baaks
advances,ahdvaensahz
stopping,staapihng
teaches,tiychahz
essential,ihsehnshahl
champions,chaempiyahnz
arbor,aarber
anything,ehniythihng
infants,ihnfahnts
defense,dihfehns
useful,yuwsfahl
application,aeplahkeyshahn
drew,druw
lot,laat
divine,dihvayn
democracy,dihmaakrahsiy
tokyo,towkiyow
ex,ehks
meteors,miytiyerz
holidays,hhaalahdeyz
buzzed,bahzd
duper,duwper
poster,powster
pill,pihl
zone,zown
cleaners,kliynerz
descended,dihsehndahd
carries,kaeriyz
juicy,jhuwsiy
wilson,wihlsahn
pessimism,pehsahmihzahm
tank,taengk
autumn,aotahm
jean,jhiyn
operation,aapereyshahn
meeting,miytihng
planned,plaend
successful,sahksehsfahl
mate,meyt
seven,sehvahn
independence,ihndihpehndahns
executive,ihgzehkyahtihv
lively,layvliy
calling,kaolihng
address,aedrehs
draft,draeft
empirical,ehmpihrihkahl
agrees,ahgriyz
stefan,stehfaan
hat,hhaet
terrifying,tehrahfayihng
largest,laarjhahst
injury,ihnjheriy
ma,maa
reality,riyaelahtiy
expensive,ihkspehnsihv
paranoid,pehrahnoyd
thin,thihn
skiing,skiyihng
submission,sahbmihshahn
centauri,sehntaariy
personality,persahnaelihtiy
brother,brahdher
modeling,maadahlihng
cop,kaap
sickening,sihkahnihng
mails,meylz
weeks,wiyks
planted,plaentahd
rises,rayzahz
discard,dihskaard
songs,saongz
commit,kahmiht
faint,feynt
similar,sihmahler
transmitter,traensmihter
healthcare,hhehlthkehr
overdose,owverdows
biodiversity,bayowdayversahtiy
drag,draeg
playing,pleyihng
tied,tayd
elastic,ihlaestihk
hamper,hhaemper
hey,hhey
washington,waashihngtahn
cash,kaesh
fist,fihst
placed,pleyst
remittance,riymihtahns
pertinent,pertihnihnt
had,hhaed
unfriendly,ahnfrehndliy
entertainment,ehnterteynmahnt
getting,gehtihng
approximately,ahpraaksahmahtliy
iced,ayst
effect,ihfehkt
cat,kaet
usual,yuwzhahwahl
steal,stiyl
shallow,shaelow
unbeatable,ahnbiytahbahl
basilica,bahsihlihkah
tahiti,tahhhiytiy
rhythm,rihdhahm
crowd,krawd
driver,drayver
support,sahpaort
canopy,kaenahpiy
relieve,rihliyv
steep,stiyp
constant,kaanstahnt
reverse,rihvers
cherry,chehriy
road,rowd
spine,spayn
patient,peyshahnt
dependency,dihpehndahnsiy
arrangement,ereynjhmahnt
boiler,boyler
sonorous,saanerahs
alley,aeliy
worship,wershahp
walks,waoks
moments,mowmahnts
believe,bihliyv
blackmailed,blaekmeyld
terrified,tehrahfayd
plausible,plaozahbahl
considering,kahnsihderihng
appeared,ahpihrd
rate,reyt
keeper,kiyper
able,eybahl
liberty,lihbertiy
store,staor
bloom,bluwm
campaign,kaempeyn
tigers,taygerz
owner,owner
anecdote,aenahkdowt
sending,sehndihng
smell,smehl
best,behst
leg,lehg
hanging,hhaengihng
fucked,fahkt
drawer,draor
smart,smaart
width,wihdth
having,hhaevihng
violate,vayahleyt
threatening,threhtahnihng
beaches,biychahz
converted,kahnvertihd
desirous,dihzayrahs
travelled,traevahld
consisting,kahnsihstihng
squares,skwehrz
friendship,frehndshihp
waiting,weytihng
embarrass,ihmbehrahs
protein,prowtiyn
intensity,ihntehnsahtiy
response,rihspaans
trouble,trahbahl
danish,deynihsh
canada,kaenahdah
stable,steybahl
danced,daenst
preferred,prahferd
moment,mowmahnt
swipe,swayp
steps,stehps
sunk,sahngk
leaf,liyf
clutch,klahch
terminal,termahnahl
fills,fihlz
sickness,sihknahs
marine,meriyn
collect,kahlehkt
slob,slaab
blamed,bleymd
illustrations,ihlahstreyshahnz
joseph,jhowsahf
message,mehsahjh
married,mehriyd
histories,hhihsteriyz
investment,ihnvehstmahnt
thumbs,thahmz
solitude,saalahtuwd
successfully,sahksehsfahliy
useless,yuwslahs
vendor,vehnder
disk,dihsk
dead,dehd
discreetly,dihskriytliy
chancellor,chaensahler
childish,chayldihsh
baby,beybiy
elevator,ehlahveyter
yamada,yahmaadah
defenses,dihfehnsahz
detective,dihtehktihv
tuna,tuwnah
lucky,lahkiy
tiny,tayniy
bravest,breyvahst
stubborn,stahbern
fry,fray
domestic,dahmehstihk
subway,sahbwey
impossible,ihmpaasahbahl
janeiro,jhahnehrow
smithsonian,smihthsowniyahn
overwork,owverwerk
shattered,shaeterd
venison,vehnahsahn
bedroom,behdruwm
positive,paazahtihv
sleeping,sliypihng
proposal,prahpowzahl
flatter,flaeter
illegally,ihliygahliy
sharpen,shaarpahn
rank,raengk
wallpapering,waolpeyperihng
poorly,puhrliy
burns,bernz
official,ahfihshahl
italian,ihtaelyahn
hypocrisy,hhihpaakrahsiy
mentally,mehntahliy
start,staart
order,aorder
nearby,nihrbay
holiday,hhaalahdey
tip,tihp
knows,nowz
away,ahwey
skaters,skeyterz
cautiously,kaoshahsliy
offering,aoferihng
administration,aedmihnihstreyshahn
fucking,fahkihng
covering,kahverihng
aircraft,ehrkraeft
stores,staorz
preferences,prehferahnsihz
pity,pihtiy
switch,swihch
knives,nayvz
obama,owbaamah
reliever,riyliyver
wheel,wiyl
lay,ley
scratched,skraecht
aliens,eyliyahnz
rima,riymah
sabbath,saebahth
furry,feriy
zigzagged,zihgzaegd
apple,aepahl
tattoo,taetuw
bricks,brihks
closed,klowzd
handsome,hhaensahm
false,faols
indicted,ihndaytahd
naked,neykahd
destitute,dehstahtuwt
infrastructure,ihnfrahstrahkcher
barley,baarliy
cruel,kruwahl
upset,ahpseht
suicide,suwahsayd
therapeutic,thehrahpyuwtihk
residence,rehzihdahns
mothers,mahdherz
tagalog,taegahlaag
allergic,ahlerjhihk
regrets,rihgrehts
did,dihd
marijuana,mehrahwaanah
gust,gahst
utter,ahter
animal,aenahmahl
begins,bihgihnz
suitcase,suwtkeys
continual,kahntihnyuwahl
severely,sahvihrliy
intention,ihntehnchahn
cheeks,chiyks
fail,feyl
exist,ihgzihst
embryo,ehmbriyow
belgians,behljhahnz
prostitutes,praastahtuwts
infected,ihnfehktahd
obstetric,ahbstehtrihk
spasmodic,spaezmaodihk
anomalies,ahnaamahliyz
merchant,merchahnt
forbids,ferbihdz
conditions,kahndihshahnz
bat,baet
marin,mehrihn
side,sayd
guiding,gaydihng
obstetrics,ahbstehtrihks
drags,draegz
sells,sehlz
destroy,dihstroy
linked,lihngkt
virtue,verchuw
frog,fraag
effective,ihfehktihv
horseradish,hhaorsraedihsh
paths,paedhz
cookie,kuhkiy
bag,baeg
seemingly,siymihngliy
flowers,flawerz
afternoon,aefternuwn
lebanon,lehbahnahn
exaggerated,ihgzaejhereytahd
slippers,slihperz
local,lowkahl
affairs,ahfehrz
monks,mahngks
mercury,merkyeriy
arctic,aarktihk
outshines,awchaynz
cactus,kaektahs
gables,geybahlz
beyond,bihaand
employer,ehmployer
tongue,tahng
rebuild,riybihld
body,baadiy
excited,ihksaytahd
hire,hhayer
tests,tehsts
offered,aoferd
safety,seyftiy
sanity,saenahtiy
brazen,breyzahn
taboo,taebuw
windows,wihndowz
grateful,greytfahl
shot,shaat
iron,ayern
infinitive,ihnfihnihtihv
travel,traevahl
facility,fahsihlihtiy
push,puhsh
emancipation,ihmaensahpeyshahn
evidently,ehvahdahntliy
regional,riyjhahnahl
researchers,riysercherz
wooden,wuhdahn
wounds,wuwndz
syria,sihriyah
giants,jhayahnts
count,kawnt
lose,luwz
virtuous,verchuwahs
translations,traenzleyshahnz
progress,praagrehs
envied,ehnviyd
timing,taymihng
grew,gruw
cruising,kruwzihng
rudeness,ruwdnahs
favorites,feyverihts
employment,ehmploymahnt
adames,ahdeymz
instinctively,ihnstihngktihvliy
worst,werst
decreased,dihkriyst
admire,aedmayr
alberto,aelbertow
sock,saak
clear,klihr
shows,showz
behave,bihhheyv
transport,traenspaort
marbles,maarbahlz
colonel,kernahl
curse,kers
general,jhehnerahl
rival,rayvahl
owing,owihng
cathedral,kahthiydrahl
competitors,kahmpehtahterz
strict,strihkt
deprived,dihprayvd
seated,siytahd
specialize,spehshahlayz
necessarily,nehsahsehrahliy
earplugs,ihrplahgz
biting,baytihng
laid,leyd
vase,veys
crops,kraaps
egyptian,ihjhihpshahn
rack,raek
bath,baeth
