Sentence,Alternative1,Alternative2,Alternative3
You won't be able to fool Tom.,zkoi ng to redyoudothat you won tbeab let of oo rtom,i don td hinktomi,to mwo n dre tyougu  ystothad
You're a slob.,id iot youreaz lo b,ean,youseemumpert u rbet
You'll be more than welcome.,yo u lrb emo ledhanwelcone  img ladyo urepl amming toc ome,yo ul l pemissetaro t,
"You're a better cook than Tom is, aren't you?",erta in lyisi s mthe you reabe dt erc oo kdhan tomisar ,y ousa itto mwask imdant hec,enty ou
I always thought Istanbul was the capital of Turkey.,ialway sthoug hd izt anbul was t he capitaloftulkey  i m man yreztaura ntsind urgeyk ebabist,g r am adaiznyfavouritec ity,h em ainentlee
I am learning Yiddish.,w ianl ea rnin gyittizh,bre,iam learmink twofole i gnlangu agez
I took many selfies in Kabylie.,knanyselviesin kap y lie  ito okm yf ami rydokaby rie,i too ,
"If I had not been convinced, I would not have found the courage!",i f ihad modp eemconvi mcetiw  oultnoth avev ound  dheco urage,iwontelivi zho urd t rustmy inz t imcts,i v dhewo r ldwe  remt imthez habeitiz nowic oult tr uzdanyome 
My husband left me a surprise.,myhuzp andre fdmea surbr i se,itkimt ofsurp  lis edne,tivolc ingcl osz edmymind
"The sea is a road, because it leads to the islands.",th eze ai  saroad bec a uzeidleadst o thei zlamds,ordag ei sani slantzu r loundedp ydead h,thisi zast  leet
Tunisia appealed to Algeria for assistance.,isiaa pbealedt oalgeria folassisdam ce  zi li neededto leafealgeria,t um,
Remember that these phrases are very useful for communication.,le nem berdha tth eseph razesalever yuse  fulfol,juzdleme mbeli  ngthatdhes ephras esa referyuzevulvor comnuni c ation,commun icadion
Tom didn't light the candle.,ut alltheca n dleson dhecake t omt idn d rightdhecan,t on was n tab reto blowo,dre
It smells like kerosene.,idsn e rrzri gegerosen e,,ism erl etgas
I'll call you as soon as I get back from Boston.,i lr c a llyouas zoonas igetpac kfrom  bo zdon,inisset y oua l o twhi rey ouwer einbost om,id bekl ad to kotob osto  nwith you
That's already illegal.,lleadyilregar  th is izacrineagai nsthu nan idy,th ad za,
"While we're waiting, why don't you tell me what happened?",aid whirewe rewai dimg whyt  on dyoudel ln e whadhabpened,w hyditn tyouw ,wh yt idntyou tel lme y ouditn tgnow  wha ddodo
Tom and Mary said they only did that because everybody else did.,domam d mary saidtheyo  nlyd  itdhatbec auseef er yboty elsedid,,tonamd marystil l havem tdor  tnewh ydhe yd idn t ha vetodo that
Tom and Mary are too old to be doing that on their own.,ei rmin dsnoddod othat d o ma md nal ya retooo  ldtoped oimgtha d om dheirown,ymat eu pth,id hi nk tonan tm  arydon twan tdod othat righ tmow
Mary looked like she needed help.,mal yneeted someonedohelpher wit h h erhomewolk m aly look edlikeshe meed edhelp,,ma ry sait tha dz hewamt edmyherp
We play games together.,w eplaygame ztogeth el  we rebl ayingf olkeep,re ds blaytokether,s
She's heating the water.,zhes heatin gdhew ate  l,she zsohod ,
Are Tom and Mary living with you?,ar etoman  dmary livingw id hyou,,do you dhink  tonamdm arya reunsociable 
Ziri will never forget that summer.,iliwilrn ev ervor gedd ha tzunmer  si ria lw,s,aysmadezureto stay cl osetoyazi d
"In 2004, Yanni accepted Islam.",in 2004yanniacce pted i  slam,yam ni ismuslimam dhewazr a isetreri g ious,
"Despite all his wealth, he is stingy.",ideallhisweald hh e isstink y,d e zb,hese en ztob  elichn ow
It's not likely that Tom will shed any tears if Mary gets fired.,ker ythatdo mw illsheda n  ytears ifmalyg et  zfired  mayp et,idzm otli ,om t oesmtk n owthad nar ywastheone who dit that
World War I lasted from 1914 until 1918.,ila zte df ron191 4undil19 18,w orr dwar,w efoleza wt hewar
Ziri needed to leave Algeria.,zalaries si rime edett oleafealk eli,ar k erianeedzto laize,a
I think it would be a mistake not to attend today's meeting.,tingdo tay ithing i tw ouldb eami sda kenot  to ad,it spos sib l etonwondattemtdheme e,te nttodayzmeet img
I sliced the onions.,e dtheonionz,i sli c,imea dingpeal z
Ziri must be in a hurry.,r imu zdbeinah ur ry  y ou neett opem ic etozil,z i,i
Oleg can help Rima with that case.,o l egcanhe lpri m awiththatc aze  l uk asurge,rim aherpedot herz,trimatododh ad
"Mary is good at geography, isn't she?",yisg oodadgeo krab hy isn tshe  maryispr etd yclaftyi z mds he,ma l,
Mennad went straight to his friend's house.,ryear men na d wemd sdra ighdtohizfliendzho,me nma driv ed inthish ou s eforaful, uze
He began to worry about her.,h ew orriesaboud her hebega mdowolr yabou th  el,,iwazwo rried vor  he rsafety
I couldn't see anything because I was blindfolded.,ul tm tseeamythinkbeca u sei wa sblint vortet,eze e what itiz ico,ho wcouldihave s eem what  yo uw e reto img wh  ile youw  ereztan din kbehindmei ha ventgo t e yesimthepacko fmyhead
"Tom is quite outspoken, isn't he?",eoudzbo k emiznth e  tonisb eink lude isn,d omi squit,d he
It'll ruin us all.,idl lru inusa ll  wewi lro utl iv,i lllo zeevelythink,edhem
But he believed he had good reasons.,buth ebelie vedh  eh atgo otreasonz,it wasbecauseshe had vait himhiz ca babir id iez,t om n usd hav e ha tagootreasonf o rwhathe dit
Tom and Mary said they've only gone sailing three times.,rwher ned to mand naryza i dthey feon lygonezailim  gdhreet imes,tonan tma ryzai ddhatdhey weleo fe,t oman dm aryz  aidt hatdh eyhad toreave
There are more practical choices.,he rc hoice d hereal emorepla cdical choicez,thele snood,to nh asblen tyofoptio nz
I'll buy you one just like it.,ill p uyyouon eju   s trikeit,illpuy yo ua ne  wone,
I don't think Tom will be as enthusiastic about doing that as you seem to be.,iton dthink t onwill  beasemd   huzias  dica pou d do i  mkthadasyous eentobe,i don td hi nk ton isgoimk  tolety oudo thad,
Sami picked on Layla.,icget onl ay la  s am iwas,sanip,zexdinglayra
I'll just do it the way I've always done it.,ill jus td oitdh ewayi veal ways d onei,iv etonea  llimk oingt  oto,d   iwill
Tom is from small town about three hundred kilometers from here.,isvromsmalldowm a poudthr eeh um dred  kiro metersv lomhele  tom,t om,haspeen awayf o lt hleetayz
All wisdom comes from above.,algztowardswis ton arlw iston co mezfromab ofe,th eworrdz lowly w,evely on eis inzam eea chin theirow nway
Is this a new rule?, iza n ew rule  i sthisreal lym ewz,izdh,
Sami was very terrified.,sami wasver yterli viet,zani wazde vinitelyaflai d,sam iwas al itdlefreage d out
I wish you'd told me what to expect.,i w i shyou td oldmew hadto ,iexp ecdedzon edh img noref romyou,exbect
Would you check the tyres?,would yo uc heckthetyre s  ar edh ese comtomsyoulz,wourty ou pi bedown,
We're concerned about our daughter's health.,conce rnet apoudourdaug hte l shearth  imrearryw orri edabo ut nychi rd,wele,
Do you mind helping me carry this box upstairs?,el py ougedupt here doy ou m in thelbimgm ecalry thisboxu ps tairs,am tmetoh,w oultyo ugive meali  vdhom e
Yanni was being overly friendly like he was trying to charm the waitress.,ya nniwastemb de d tospeed yanni was beingove rryfli entlylike h ewastrying toch arn th  ewa itresz,,yanniwaz p aranoidzo mu chsodha dheac c usedzgu   lashehadpeen   hafi n ganaffairw   ithaneikhpor
Last week I quickly read four books in my room.,wlitenofelz l as tweek iquick lyr eadvo  ulboogsinnyr ,it t ookneal o ng timed orea rmdo, oon
I didn't buy everything you asked me to buy., yevelyt hinkyoua zk  et medobuy,idid nt bu,itidnd h afe allm yzt uvf
Will we ever meet again?,arewe goi nkou t agaim wilrw ee vermee d a,,gain
Both of us are very fond of curry and steak.,w ell done podh ov us ar  eve ryfomto vcurry an tsteak,il i kenyneat,iloveh ampu rgelz
Tom said that he isn't used to this kind of food.,said hed idm th aveti medoe admow d om sa idth adheis  mtu  settodhizk imd offood,tom,domza id th ad ma ry doezm  thafetoeata mythinkzhetoe smtl ike
I haven't ever done that.,i ha ve nteverdoned had  id ne fe rdone idpef,if en eveldo netha tmote veno nce,ore
They didn't want to spend much time talking about it.,theyt it n t w anttospendmu chtim etalki ng aboudid  dheys ai,n oo  newamdedtotalka bouddh ozethi  ngs,tthey meedetsom enore tin e
Tom doesn't have any family here.,tomdoez nth afeamyfa m  ily h ere,to md oesn thaveamysibl inks,
The man is drinking water., ni zdlinkimgw adel,dh ema,do n tdrimkdhiswa ter
"If this was really our language, we would have used ""v"".",ifdhi swasreallyou rl ang uage  wewoul dh  afeus edv,dh ele izasa  yimkinourran   guageit  dakeza thiefdoc a tchath  iev,ify oureallydh ingth ese  nden ceizboori lrbewill i  nk ofcourset  od e retethise xanple
"That doesn't matter, really.",oesn tm atderr eally  th atma k,thadd,ezmodiffere ncetom e
The boat was piloted safely into harbor.,t heboatwa spi  lotedsafe ly i ntoharbor,,ed mum towa zonth eship
I could not sleep much last night.,ic ou rd notsleeb nuchlazt n ight,icourdnds ree bei dher,i h avendsl ep tforzefera ldays
"She owns property in Kabylie, Algeria.",zheowms prop ertyingaby rie  arkel,hewaskidna b pe dinkapyrieal geria ,ia
"Below was a little valley and beyond a long, gently-rising slope with snug farmsteads scattered along it.",sr e vtade epk roofeonit ztrumg bel owwasalidtleva lleyand peyo n  talo  ngkently lis imgzrobewidh sn ugfalmsdeatszc attere tar o ngit,lucgpyli kh dmi nkwhichha,a z d hesbrimgd rew nik hth esmowner dedt hee   ar thdisprayedit serf a mtthe klazzpekantogrow
Everybody needed to do that.,evely po dyneedettodo th at,eferyb ody sdoingthad,efe ryo neisdoim gdhat
Ziri brought his gifts.,ziribl o ughth iskif ts,,zi rilesig neto verdhat
I wonder if I'll get any stars yet.,iw on de rifill gedan  y  sta,if you could l i veinastar  w hicho newourdyo ub icg,lsyet
"On his way back, Felix heard a strange noise.",er ixd efiniter ypudast opdothad lig htaway o nh iswa ypa c gfeli xhe aldastran,f,ke moise
"Paul decided to go to sleep, too.",ba uldec idedto gotos  lee b too,paul wasta kinknot ez,
We hope to reach the top of the mountain before dawn.,weh o ped or  eachth etop of d hemountainbe f  oredawn,dhe moomr ose apov et hehirl,
He's not mature.,hez nodm ature,m enmadisnt fu rlymadu leyet,heisn tnorm al
I went to England for two weeks to hang out and see the sights.,e nd doe nk la  mdfortwo w eekz doha ngou dand zeethesighds  do nandiwerepodhi,iw ,ma u s tr alial a stweeg
What you are doing is now much more dangerous than what Tom did.,w hady oualet oin gisnow nu chmore d angelouzth amwha  dtom did,w hatyoud i ddot  onwas cruel,ith ough t you saidt hatdomwa sd angerous
Destroy this temple.,te sdloythiztemple ,dhizpraceroo gs ligea c emeter y,i zth is amosque
"Previously, I was going to have been having to have gone to have had an operation requiring anaesthesia but by the time I was able to comprehend the grammatical tenses used in this sentence, I was discharged from the hospital.",imsd il labi dsoleaf dernyopera tio n p r e fi ously   iwasgoi mkdohafebeemhavimkt  ohaveg  one dohavehadanob eladi  on requ irim  ga naesth eziabut pythedimeiwaza p retocomp r ehen dtheglammatica,,r tense z uzedi ndh izz e n  t emc eiwastizchalgedvlonthehospidal
My religious woman neighbour feels really insecure when she sees anything about science fiction.,myleligi ouzwonann eigh poulfeer srea llyimzecure whens  hezeezamy dhinkaboudzci en  ceficdi on,zc iemcef ictionisahighl yima kinat ife genre,m yneig hbo ronthe seco nt  floordold n ezonej u icygoszipyou   reno dgoimkdobelieve it
Tom needed to rest.,domme e deddole st,tomne ed  stowa tch hizbacg,domneedsazziz ta nce
Tom needs assistance.,d om to ldme youne edhelb to mmee dsassistance,,i sh ouldtelrt omtha tine ed  h izhelp
He turned his violence against himself.,hetu rmethizv iolen ceagains thimz elf  hewa,hewasa zs aurted,spl azingwith amg el
"Don't skip classes, okay?",dom tskibclas  ses,nob reathimginc la ss,ok ay
Someone will do that job.,iwishd hatsom epod ywoul ddot hat so m eon ewir rdothatjop,,every oneizdoim kth ad
"I can play chess, but I can't play checkers.",ic anpra yches z p udic  amtplayc hec,w hydondweb lay aka meo vc  hess,kerz  ic an
Yanni went straight home.,ya nmiw entst raighthome  ya mniw asleafing,yanni w azlivimg i nexile,wo
I had a peanut butter and jelly sandwich.,i hadapeam u dbudte randj elly zant wich,peamutbutt elan djellyple az e,iateabama n aford  ess erd
Ziri called Rima but she didn't even pick up.,z i ric ar ledr imaputsh editnde venp icgup,si ridit ntt ellrimah istru emane ,sil iamdr ima n olo ng elg otalo mka swe llaz d heyusetdo
I wonder if it's safe to do that here.,rif itszaf etodo  thadhel e  do,iwo mde  ,you th imkitzs af etosd ayher e
I have no car.,iha ve mocar ,i ton t hafe  th enon ey topuyacal,iti dnttriv enyc al to day
I'm sorry I couldn't help them.,im s or ryic oultn ther  bthem,i cam d todhatwi thou thelb,
Whether I’m drunk or dead I’m not too sure.,i mnot dlumg yet w hethel i’md lumg o lte adi’ mmod toozure,,ithin ki haveast o mac hvilu  sor thev luolb ot h
Yanni had a tactical shotgun.,atacd ic alshotgun  ya nmihada,y annih ad,wig on
Ziri finished running upstairs.,fla tload silifimishe trunning upzta i,zi risp rimtett owmthe,rs
I'm going to be your lawyer.,tice imgoinktob ey o urr a wyel,tdoj us,t omizgo  imkdome  edakoodr awyer 
Our group can't compete with an orchestra of that size.,weal em tvelyli kelydo sin gtoke ther o urgroupcandc ompetew idh a no rcheztl a oft,, hatsize
The bomb separated from the ship.,thebompzeparat edf lo mdh  es  hip,dheshibhull is divide dindo wate rtightcon bald mends,
Would you like another cup of tea?,uli ket o have somewine wo uldyouli kea m othercup  ovtea,w ou ldyo,ateaspoon pl ease
Palestinians are human.,paleztini ansar  e human,pa restine hatavib rantculd ure,
I like feeding pigeons.,ili gefeedi mkpi geonz  thepi rtspec ged,ili ketos mac g, glains
Did you watch the match on television?,tid youw atchth enatchonte levi  ziom,didyo ugoto  the ci ne mayesterday,haveyouseem d hadn edfl  ixseriez
He said he wasn't sure what to do.,malysaid sh ewa sn t zulewhadtot o h esaithe wa  snt sule,,whad  toto
Why did Tom's wife leave him?,onsday ingwi thyou w hy didtoms wi ,wh yi st,feleafeh im
Who did Tom and Mary plan to ask for help?,h otid tomam dnaryp lam toa zkf orhe lp  w hatweretonamd ma lycelebradin k,w ,
He planned a surprise party for her., rbr ise   bard yforher  helefda mezs ageo m the dablev or hel,heplannetazu,
Do you think Tom and Mary are still hesitant to do that?,toyo u thinkt ona nd m ar yale ztilrhe sid amt tododhat  i th,ar et omandm  aryb e rmittedd ododhat, ink
Get Tom back here.,mbackh ele  g eto v erher erightn,get to ,owdom
Sami is insane.,anii zinzan e  sanig od zom ad,s,
"Tom is really stubborn, isn't he?",ou tspogen isndhe tomizreallys t ub bor nisnth e,q uite,t omisbe inkrut eiz n the
Hunting season has just started in northern Algeria.,humt imkseaso nha  sjusts dard edimnortherm arkeria  dodra v elt om orthamericaisexp,th egl ound i mnolther malgeriaisparticularr yf eltile, ens
Sami had dinner and went to bed.,zanihad dimner an t wentt  ,samiandl aylaa ted i mnertog edhel,obed
Sami is dead now.,mi isdeadn ow  sani emte dupdea,s a,t
Layla was beaten in the face and the chest area.,layr aw az beat  eminthe vac eandt h echesdalea,la yras hav edhe rpubicarea,raylalo oge dlik esh ehadpeem peat en
He asked me where his book is.,he a skedme where  hispo okis  i wl otedh at vor,anywheredom aldko ez  hehaza  bookwi t hhim,him
Tom and Mary are always fighting.,alk uink toma ndmal yar ealw aysvik ,tom andna ryareco nstantly,hting
The misbegotten child must be killed. His Excellency cannot handle another scandal right now.,hi smi ndk eptl u mningomhisd eadch ilt dhemis beg o  ttenc h ildmustbekilledhisex c erre mcyc anmothamdreanot hers candal rightm,,ow
They warned us.,eyw almedus  wewilr oudliv eth em,th ,
That's basic economics.,ec dourecon omy thatzbazi cecon omics,aff,itsmo meyt owmt hetr ain
"Tom is always prepared, isn't he?",to nizarw ayspl epar edi sm dhe,,t om is ovte mruteisndhe 
Tom got a D in the test.,to mk oda di ndhe de zt,t omdoz edoff dulimgt heexa m,tom has cooties
There's honor among thieves.,the resh onoramon k thievez,,h ei zdhe soul of honor
He never forgets his money.,he n evervolkedz hi,zhecombra in etcomtimuallyth atthel ewa snom one  yrevd,zmome y
I doubt Tom will want to go to Australia with you.,id ou ptdo mwillw a nddo kod oa us tr ariawithy ou,,dom izblopab  lynot  go i mkdogo toa uztlariawithu z
The party had to be cut short.,tyha d dobe cuts ho ld  wemeed,dhepar ,do cance rth emeed img
Tom certainly knows what he's doing.,do toncer tainl yknowswha t hez doing,do esto mk nowwha tto,i tdoesntseent onet omk no w swh ath eztoink 
Discussions about religion are very often contentious.,z heoftem zpeak sapo uthelfia mcé dis cuz sio nsapoutrerigionareveryoften c,,ontent io uz
The wood's got to be handled carefully.,secr ecyizi mportand thewootskod dobeh ant ledc ,,a ref urly
I miss the love and affection I used to have.,ini s sd hel o vean dafvectioniuz edd o have,imi zsm yhometow m,l ofe mak e sussuvferliged ogs
Mary said she'd buy some stamps.,za itshe dpuyz omesdan pz  n ary s aiddh atshe woulddoit,mar y,
I found him!,ifo u mt him,,i zawh imk oinsi de
They say that they won't do it anymore.,th eys aythad th ey wontdo idany more,t heysa ydhatth ey dneveldo d had again,th ey said t ha dthey ditmtha fet odothat
The kitten is between the puppies.,thegi tteni sp etweent  hepupbi  es,th e cadi sp layimgw idhthed og,
Are there any Chinese restaurants near me?,mto frest aulanti zthatac rossdhesd reet a redh ereanychinesere stau rants n earme,wha dk i,whad t imedoesthisr esdaur antc lose
Mary knows you didn't eat the cake she baked for you.,nowsy oudi dndead the cak eshepage tfo r you,ma lyg ,malydoesmdkmow z he zatopd et
It isn't like that at all.,i disnt  rigetha tat all  mode,idisn tt ha tata ll,velybotyrikes doi ngth iz
Ziri converted to Islam from sheer admiration.,zi liconfe rtedtois lamf romz heelatnil at  ion,izr ammade zir ihabpy,
The decision was postponed.,t hedecisionwas bosd bo  med,w h atwasdecited,
Where did Tom go to college?,wher ed iddomg  otocol,wh en didtomklatu adeflom hikhs  chool,l eke
He felt the pricks of conscience.,dhep ric k sofconzci emce  h ezaithe fert l ikegifi ngup,hef eld,
She says that doesn't surprise her.,isether shes ayzt hat do esntsur prizehel,thatsu rpl ,shesaidt hadshe izn dwor  ried
Martino turned up the volume on the TV.,re reasedtoo nal t i modurne tup thevoru meomthe tf,z,mal dinok ept havink thesamem ightmare
Tom and Mary said they'd be home this evening.,do namdmary za id  dheytb ehonet hisef emi  ng,dond ol dmalya mdi  tog oh oneby o ulselves,
I know that Tom and Mary didn't do that together.,tt heyhaddod oth at i gnowdha d toma m dmal ydidnt do  thatdoget,tona n dmal yt itmd z eentobeawar e tha,her
"You're a loser, too.",u real oser too,yo,yous eemumpert ulbed
It was clear Tom was supposed to do that by himself.,it w ascr eardo mwas su ppose ddododhadbyh i  mzelv,tomwasopv io u sl yre ructamttod odhad,
Tom has been very clear about that.,tonh azb eenve ryclea  labou tthat  tonizcomple tel y,tomw asobv ious lyreructandt o tod hat,rea zonabre
Everyone says that Tom is a nice person.,st kuy ziknow ef eryo neza ysdha tt onis amiceperzo m,mice ,d om i zoneo fth eswe etes d peopleiknow
Ziri leaned in and kissed Rima on her cheek. She blushed like crazy.,gamdscreaming zi lileaned ima n tgiss e d rinao mhercheegzh e bruz hedr igecrasy,edri na awaygi cgin,zili amtrimas tartedc ou ghimk
I got on the horse.,o ton dhe hol se  iam lim bingalo ng,ik,
Sami walked in with his girlfriend.,ketinwithh i skirrfri end,sam i war,sani wasdrin kimkw ithhi zvri end
Everybody feels at home with him.,eve ryb od yveelzath omewi thhi n,,m oo neishom e
Tom said that he didn't think Mary really had to do that by herself.,do nsaid dh ath edi tntd hingmar y re a rryha  dtotot  hatbyherself,,tomsaith edoe zndt himgmaryrea lr  yme etsdo todhad a nynore 
I enjoy spending time with him.,ndingd inew it hhim  iwazfas cinaded wi thhim,iemjoy sp e,
"You've worked with Tom before, haven't you?",y oufe worgedwi dhtombef or eha fentyou,dityou ev elsee dom afdeldh a d,ha fe youb e en tota lkdodom
This calculation is incorrect.,thiscal cur atio nizincolrecd,thati sam ist age,tha twou rd a bpe artobecorrect
Just because a mother happens to be beautiful it does not necessarily follow that her daughter will grow up to be the same.,spea ktot hedaukhd erim l awsothatdhenother inrawmay umterstand just b ec au seamot  h erhabp enzdobeb eaudiv ulitdo esn odnec essa r ilyfoll owtha th erdaug hd erwirrkr owup dobedhesame,,ashes atnex ttoh is dyi ngmothe  rinth enu rs ing home   do nrekrettetmoth  afin kb eenabett er sontoher
How long was I in there?,ngwasi i  nthere  i jusd habpene tto pedh ere,ho wl o,atth attim e
Those separatists are sociopaths.,dho se zeparatiztzalesoc iopadhs  we r lfucg dhosese paradiztsubpi gdime,thesebara ti stsareinsanelyp alamoi t,i
Sami forgot Layla.,sanif olkodl ,sanib a idra ylamonin d,ayla
We went out for some fresh air.,wew e nto utforzomef  rezha ir,redz opena wi ndow toge ts o me vreshail,wel e curr ent lyexperiemcimgsometulbulemce
Are you a good fuck at the tennis club?,u ck atthe  t  enmis clup  yout omtkn o wh,a leyouakootf,owtop rayten niz toyou
We still have a shot.,w ez d irlhafe ashot,wezdi l l h avequ itea  pittodo,we reztirlshopb i ngaround
Sami has a picture of his cat.,sam ihasapi cd u reof h iscat,samihadpi cdurez ,sami wa mdedtok eebth atpi cture
The Gulf of Mexico is a critical breeding ground for many types of sea turtles.,dh egul fof m exicoisacriticarbre ed imgg rou  n dform amydypeso f seatu rtles  dezert l isardzhavefimekl anu,arezm abbingt ur dlesdankerous,lal dorsal zcales
I should've let Tom do what he wanted to do.,i z hou ltve lettontow  hat hew antedd oto  d o mler uctant l,to msho ultha vepe ente  mbtedtod othat,ydidwh athewasdo
He pondered his next move.,  edhisnextmov e  he motiomedme,hepond el,dovo llo whin
I most certainly didn't say that.,ai nidit nts ayt hat i mosdcertaimlyd id mt  saythat,in cert,ihafe nthea rdthadpart icu r alsaying
"""What's the reason for your allergy this time? Is it the olive oil in the salad?"" ""No, it's the tomatoes.""",wha dzd here azomvoryoul all  erg ythistine i  sid theo li veoilint he zarat  no it zthetomatoes,you i nd h ereyeahwhy  hur lyu pyourd aughter  wamdzto takead unb,howsyourcous co uzit sdel iciouz
Will you please just wait a minute?,wi l ryoubl ea sejuztw ait am  imute,c oultyouho ld dhi  sfora sec,
Most people do that.,opret odh at  evelypod ysdoin gthad,noz tpe,
Tom fired his gun and hit what he was aiming at.,t omvir e dh isguna n thid wh  ad,t om to okoudhisgu  n and shotmary,hewazainin gad
She withdrew five thousand pounds in cash.,shewith tre wvi vedho us amtpoumtsinc ash,,here ceivetanirli on do llalzetdlement
Ziri's birthday fell during a weekday.,si rispird ht ayfellduring aweeg day,zil i wastherefo ra wee k,zir imi zse zhizunivelzidyta yz
Don't forget tomorrow is Tom's birthday.,don dfolgetdo nolrowisdom sbilt  hday,to nizn trige rytol eafedo molrow,domhas tole afetom ol rown olnink
Tom and Mary think they're stronger than me.,doma ndma ryt hi nkdhe ylezd  ronkelthanme  to mandmal,id hi mk donan  dmaryar etoo aggressive,yale n d o n dh esa metea maziam
"I am permitted to leave, based on the command of the king.",ia n perm  itted tole  aveb asetondhec on mandofthe kimg,iriv epy myow n  rules,illper m idyo utog o
Tom often fails to keep his word.,emfail zto keeph is wor t  tonwa salw aysencouraki mg,tomofd ,
Hippos can prove lethal.,hip poscam brov erethal  idcou ltpe d ea,elia scan rite acane r,dly
She's just an actress.,tana  ctrezs,shes juz,theactr ezzisstudyi nkh el role 
I enjoyed working with you.,edwo lkingwith you  id kladl,i en joy,yko wi thyou
Does Tom know you want to do that while you're in Boston?,nkto gotoboz to nwithyou toes t omg now  you wandtotot hatwh i leyou  reimpozton,iz uspec tdha dtom isn t bla nmi,tomh as peeni npoz tonha smth e
I know Tom didn't know why you wanted him to do that.,ikmowdo ndi tn tkmowwhy y ou  wamt e dhimdo  dothat,tomd oezn  dkn owwhy you ditdhat,i kno wdh addomdoe  sm tk now whyinev e  rwa mtedtodothat
"Russian forests crash down under the axe, billions of trees are dying, the habitations of animals and birds are laid waste, rivers grow shallow and dry up, marvelous landscapes are disappearing forever.... Man is endowed with creativity in order to multiply that which has been given him; he has not created, but destroyed. There are fewer and fewer forests, rivers are drying up, wildlife has become extinct, the climate is ruined, and the earth is becoming ever poorer and uglier.", fd  leesar edyingdheha b i tadions ovanimalzandp irdzalera itw a  sd eriversglo  w  s h allo  wan  ddryupmar verous  ra ndscapes aredisappearingv orever nani semdow etwid hcre atifityim   olteltomul diblythadwh ich  ha zbeengi femh  inhehasnod  c leatedputdes troy edt herea levewelandvewelfolest sr i ve  rzar edryimgubwird liv  ehaz b e co meextim cddhecrimateisluinedan dtheearthispecomingevelbooleramdugriel,danimarz di edbecau sedhele wa sntanyvood ruzz ia mf or e stzcras ht owm unter theaxepi llio nso,n ydreelookzsi cg wha  tsw lon gwithit
I am ashamed of my son's conduct.,iana shane do fm yzonsco ndu ct,,my so n s halldo thewolk
We've never used this room.,weven efel  uze  dthisroom,weme verloc k o uld oorzalo umdhere,
How do squirrels remember where they buried their food?,h owtosq  uillelsre nemberwh erethe ybur iedt heirfood,howdoyou de rli  famush loom izp oi zonouz,mydo gliges chasin gsquilrelz 
Sami made some mistakes.,sam inadesom emizdag es,s ami wa sha vingazhit,sam iha snoregreds 
"She was the opposite of her sister in almost every respect, being unusually shy and reserved.",sh ewasth eop pozite ovh elsi sderinalno steve l y respecdpeinkun u z uallys hyantre selfed  wi t ha rrherm eritzz hewazno,sh ewasab r edt yshygil l,tproud
The hot dogs are almost ready.,hehot dok  sarealmosdreat y  z iri,d ,izlea dy togo
I think Tom expected Mary to ask him to do that.,sm arywil lbele luctan tt otothat id h in ktome  xpecte dmar  yto askhimto dothad,k,i gne wt omwazb ra  n ningo m askinkmarydo dothat
This document is highly confidential. For your eyes only.,dde lramyone this tocumemtishighl yc onfid emdial  foryou reyezon ly,thisis as ecret so pleas edom,ze cr ec yi sofdhe ess emceimt hisnadter
"Sami used ""poop"" which is another word for ""shit.""",z ami usedpoopwh ic hi san otherwortfo ls hid  saninam edhi,z amiwa zhav ingas hit,sp arlod far
I do not take other people's things.,o therpeopr e zt hings,ito notd ake,ito ndri kepe opled ouchi mgn yztuff
Ziri has worked very hard to get to this point.,time zi ri h azwolk edv e ryha  rdtoge dtodhispoim,z iliwirl wo lghaldnext,t
Tom saw a bear.,saw abe ar  tomwa satta cg edbyagl,d om,i szl ybear
Tom wrote several children's books.,tomp ic kedu phi sbooks t o mwrotesev e ralchildrensboogs,,domhaspu blis hedd hreeb oogz
Tom and Mary rolled up their sleeves.,m amdm aryro ll etubth e irsleeves,to,dom an dmar yli feofft  hegrid
I thought you'd be interested to know that Tom got accepted into Harvard.,udbeim te l esd edto gnowthadt  omgotaccebt etim tohar fard  doy ouzdilrdhin kyo,it hought yo,u rlge t into harvald
They're making a musical., gingamu z icar  zhe isfirnin g,dheyrema,
He wondered why he'd been invited.,hew omtered wh y hedb eeninv ited,,she carle d hi mtoa sghi ntoco  neover
Donald laughed at Jessica from the car.,d laughedat jezs icaf romdhecar  dhec ar zwilv edadz iri,d ona l,
Let's get started with the session!,dedw idhd heses zion  itsj uztbeg,letsged sda r,un
I didn't have the same problems you did.,i tnt h ave thezaneplob lemsyo udid  ih av ed hatpropr entoo,id ,
Tetsuo bent over and pulled his underwear down.,ts uob emdof elamd bulleth i sumde rweardowm,te,ziriwaz wearin gdenim ban ts
"If you have a newborn boy, call him Tom.",ifyo uha fe ame w bolm poy call hinton,dont youth ingyouzh o uldca ll tom,arey ou z dirrgoin  ktoca rltom
"Here is the bad tooth, it must be extracted.", er eisth ep ad toothidnu stbe e xtractet,h,i meedt oothpazte
Tom may come back.,ombloba bl ywon tpeb ack soon tomm aycone b ack,t,tomc ouldreturnt od ay
Tom has a son and so do I.,theom eswh o lrdothad to mh a saso  m ands od,t o mandiar e,oi
Can all birds fly?,ca na llp ir,alebutderflies imsec ts,dsfly
She swore she wouldn't do that again.,z hes woreshew our dntdodhata kain ,maryz aidzhe won  tdodha tagain ,theys a ytha t  theydnev erd othatakaim
